央视高码,#genre#
山东卫视,http://127.0.0.1:35456/itv/1000000005000265019.m3u8?cdn=ystenlive
广东卫视,http://127.0.0.1:35456/itv/1000000005000265034.m3u8?cdn=ystenlive
江西卫视,http://127.0.0.1:35456/itv/1000000005000265032.m3u8?cdn=ystenlive
深圳卫视,http://127.0.0.1:35456/itv/1000000005000265028.m3u8?cdn=ystenlive
湖北卫视,http://127.0.0.1:35456/itv/1000000005000265023.m3u8?cdn=ystenlive
辽宁卫视,http://127.0.0.1:35456/itv/1000000005000265022.m3u8?cdn=ystenlive
重庆卫视,http://127.0.0.1:35456/itv/1000000005000265017.m3u8?cdn=ystenlive
黑龙江卫视,http://127.0.0.1:35456/itv/1000000005000265029.m3u8?cdn=ystenlive
河北卫视,http://127.0.0.1:35456/itv/5000000006000040016.m3u8?cdn=bestzb
河南卫视,http://127.0.0.1:35456/itv/5000000011000031119.m3u8?cdn=bestzb
四川卫视,http://127.0.0.1:35456/itv/5000000004000006119.m3u8?cdn=bestzb
海南卫视,http://127.0.0.1:35456/itv/5000000004000006211.m3u8?cdn=bestzb
广西卫视,http://127.0.0.1:35456/itv/5000000011000031118.m3u8?cdn=bestzb
吉林卫视,http://127.0.0.1:35456/itv/5000000011000031117.m3u8?cdn=bestzb
甘肃卫视,http://127.0.0.1:35456/itv/5000000011000031121.m3u8?cdn=bestzb
贵州卫视,http://127.0.0.1:35456/itv/5000000004000025843.m3u8?cdn=bestzb
重庆卫视,http://127.0.0.1:35456/itv/1000000001000001096.m3u8?cdn=ystenlive
青海卫视,http://127.0.0.1:35456/itv/1000000002000013359.m3u8?cdn=ystenlive
云南卫视,http://127.0.0.1:35456/itv/5000000011000031120.m3u8?cdn=bestzb
中国教育电视台-1,http://127.0.0.1:35456/itv/5000000002000002652.m3u8?cdn=bestzb
中国教育电视台-4,http://127.0.0.1:35456/itv/5000000011000031126.m3u8?cdn=bestzb

数字回看,#genre#

SiTV-欢笑剧场-4K,http://127.0.0.1:35456/itv/5000000007000010001.m3u8?cdn=bestzb
华数-4K,http://127.0.0.1:35456/itv/6000000003000004748.m3u8?cdn=wasusyt
咪咕4K-1,http://127.0.0.1:35456/itv/3000000010000005180.m3u8?cdn=FifastbLive
咪咕4K-2,http://127.0.0.1:35456/itv/3000000010000015686.m3u8?cdn=FifastbLive
纯享-4K,http://127.0.0.1:35456/itv/1000000004000011651.m3u8?cdn=ystenlive
求索动物,http://127.0.0.1:35456/itv/6000000002000010046.m3u8?cdn=wasusyt
求索纪录,http://127.0.0.1:35456/itv/6000000002000032052.m3u8?cdn=wasusyt
求索科学,http://127.0.0.1:35456/itv/6000000002000032344.m3u8?cdn=wasusyt
求索生活,http://127.0.0.1:35456/itv/6000000002000003382.m3u8?cdn=wasusyt
纪实科教,http://127.0.0.1:35456/itv/1000000005000265020.m3u8?cdn=ystenlive
纪实人文,http://127.0.0.1:35456/itv/1000000005000265021.m3u8?cdn=ystenlive
ICS外语,http://127.0.0.1:35456/itv/5000000010000030951.m3u8?cdn=bestzb
东方影视,http://127.0.0.1:35456/itv/5000000010000032212.m3u8?cdn=bestzb
新闻综合,http://127.0.0.1:35456/itv/5000000011000031110.m3u8?cdn=bestzb
第一财经,http://127.0.0.1:35456/itv/5000000010000027146.m3u8?cdn=bestzb
上海都市,http://127.0.0.1:35456/itv/5000000010000018926.m3u8?cdn=bestzb
东方财经,http://127.0.0.1:35456/itv/5000000007000010003.m3u8?cdn=bestzb
五星体育,http://127.0.0.1:35456/itv/5000000010000017540.m3u8?cdn=bestzb
卡酷少儿,http://127.0.0.1:35456/itv/7851974109718180595.m3u8?cdn=bestzb
哈哈炫动,http://127.0.0.1:35456/itv/5000000011000031123.m3u8?cdn=bestzb
法治天地,http://127.0.0.1:35456/itv/2000000002000000014.m3u8?cdn=hnbblive
快乐垂钓,http://127.0.0.1:35456/itv/5000000011000031206.m3u8?cdn=bestzb
茶频道,http://127.0.0.1:35456/itv/5000000011000031209.m3u8?cdn=bestzb
金鹰卡通,http://127.0.0.1:35456/itv/5000000006000040024.m3u8?cdn=bestzb
金鹰纪实,http://127.0.0.1:35456/itv/5000000011000031203.m3u8?cdn=bestzb
咪咕全民热练,http://127.0.0.1:35456/itv/3000000020000031315.m3u8?cdn=FifastbLive
NewTV-精品综合,http://127.0.0.1:35456/itv/1000000004000019008.m3u8?cdn=ystenlive
NewTV-精品大剧,http://127.0.0.1:35456/itv/1000000004000013968.m3u8?cdn=ystenlive
NewTV-精品纪录,http://127.0.0.1:35456/itv/1000000004000013730.m3u8?cdn=ystenlive
NewTV-精品体育,http://127.0.0.1:35456/itv/1000000004000014634.m3u8?cdn=ystenlive
NewTV-精品萌宠,http://127.0.0.1:35456/itv/1000000006000032328.m3u8?cdn=ystenlive
NewTV-爱情喜剧,http://127.0.0.1:35456/itv/2000000003000000010.m3u8?cdn=hnbblive
NewTV-超级电视剧,http://127.0.0.1:35456/itv/1000000006000268003.m3u8?cdn=ystenlive
NewTV-超级电影,http://127.0.0.1:35456/itv/1000000003000012426.m3u8?cdn=ystenlive
NewTV-超级体育,http://127.0.0.1:35456/itv/1000000001000009601.m3u8?cdn=ystenlive
NewTV-超级综艺,http://127.0.0.1:35456/itv/1000000006000268002.m3u8?cdn=ystenlive
NewTV-潮妈辣婆,http://127.0.0.1:35456/itv/2000000003000000018.m3u8?cdn=hnbblive
NewTV-东北热剧,http://127.0.0.1:35456/itv/1000000005000266013.m3u8?cdn=ystenlive
NewTV-动作电影,http://127.0.0.1:35456/itv/1000000004000018653.m3u8?cdn=ystenlive
NewTV-古装剧场,http://127.0.0.1:35456/itv/2000000003000000024.m3u8?cdn=hnbblive
NewTV-欢乐剧场,http://127.0.0.1:35456/itv/1000000005000266012.m3u8?cdn=ystenlive
NewTV-家庭剧场,http://127.0.0.1:35456/itv/1000000004000008284.m3u8?cdn=ystenlive
NewTV-金牌综艺,http://127.0.0.1:35456/itv/1000000004000026167.m3u8?cdn=ystenlive
NewTV-惊悚悬疑,http://127.0.0.1:35456/itv/1000000004000024282.m3u8?cdn=ystenlive
NewTV-军旅剧场,http://127.0.0.1:35456/itv/2000000003000000014.m3u8?cdn=hnbblive
NewTV-军事评论,http://127.0.0.1:35456/itv/2000000003000000022.m3u8?cdn=hnbblive
NewTV-魅力潇湘,http://127.0.0.1:35456/itv/1000000001000006197.m3u8?cdn=ystenlive
NewTV-明星大片,http://127.0.0.1:35456/itv/2000000003000000016.m3u8?cdn=hnbblive
NewTV-农业致富,http://127.0.0.1:35456/itv/2000000003000000003.m3u8?cdn=hnbblive
NewTV-武博世界,http://127.0.0.1:35456/itv/2000000003000000007.m3u8?cdn=hnbblive
NewTV-炫舞未来,http://127.0.0.1:35456/itv/1000000001000000515.m3u8?cdn=ystenlive
NewTV-怡伴健康,http://127.0.0.1:35456/itv/1000000005000266011.m3u8?cdn=ystenlive
NewTV-中国功夫,http://127.0.0.1:35456/itv/2000000003000000009.m3u8?cdn=hnbblive
NewTV-黑莓电影,http://127.0.0.1:35456/itv/1000000004000019624.m3u8?cdn=ystenlive
NewTV-黑莓动画,http://127.0.0.1:35456/itv/1000000004000021734.m3u8?cdn=ystenlive
NewTV-哒啵电竞,http://127.0.0.1:35456/itv/1000000006000032327.m3u8?cdn=ystenlive
NewTV-哒啵赛事,http://127.0.0.1:35456/itv/1000000001000003775.m3u8?cdn=ystenlive
SiTV-动漫秀场,http://127.0.0.1:35456/itv/5000000011000031113.m3u8?cdn=bestzb
SiTV-都市剧场,http://127.0.0.1:35456/itv/5000000011000031111.m3u8?cdn=bestzb
SiTV-法治天地,http://127.0.0.1:35456/itv/9001547084732463424.m3u8?cdn=bestzb
SiTV-欢笑剧场,http://127.0.0.1:35456/itv/5000000002000009455.m3u8?cdn=bestzb
SiTV-金色学堂,http://127.0.0.1:35456/itv/5000000010000026105.m3u8?cdn=bestzb
SiTV-劲爆体育,http://127.0.0.1:35456/itv/5000000002000029972.m3u8?cdn=bestzb
SiTV-乐游,http://127.0.0.1:35456/itv/5000000011000031112.m3u8?cdn=bestzb
SiTV-魅力足球,http://127.0.0.1:35456/itv/5000000011000031207.m3u8?cdn=bestzb
SiTV-七彩戏剧,http://127.0.0.1:35456/itv/5000000011000031116.m3u8?cdn=bestzb
SiTV-生活时尚,http://127.0.0.1:35456/itv/5000000002000019634.m3u8?cdn=bestzb
SiTV-游戏风云,http://127.0.0.1:35456/itv/5000000011000031114.m3u8?cdn=bestzb
iHOT-爱电竞,http://127.0.0.1:35456/itv/6000000006000230630.m3u8?cdn=wasusyt
iHOT-爱谍战,http://127.0.0.1:35456/itv/6000000006000070630.m3u8?cdn=wasusyt
iHOT-爱动漫,http://127.0.0.1:35456/itv/6000000006000280630.m3u8?cdn=wasusyt
iHOT-爱都市,http://127.0.0.1:35456/itv/6000000006000080630.m3u8?cdn=wasusyt
iHOT-爱怀旧,http://127.0.0.1:35456/itv/6000000006000260630.m3u8?cdn=wasusyt
iHOT-爱经典,http://127.0.0.1:35456/itv/6000000006000060630.m3u8?cdn=wasusyt
iHOT-爱科幻,http://127.0.0.1:35456/itv/6000000006000020630.m3u8?cdn=wasusyt
iHOT-爱科学,http://127.0.0.1:35456/itv/6000000006000160630.m3u8?cdn=wasusyt
iHOT-爱浪漫,http://127.0.0.1:35456/itv/6000000006000040630.m3u8?cdn=wasusyt
iHOT-爱历史,http://127.0.0.1:35456/itv/6000000006000150630.m3u8?cdn=wasusyt
iHOT-爱旅行,http://127.0.0.1:35456/itv/6000000006000250630.m3u8?cdn=wasusyt
iHOT-爱奇谈,http://127.0.0.1:35456/itv/6000000006000270630.m3u8?cdn=wasusyt
iHOT-爱青春,http://127.0.0.1:35456/itv/6000000006000100630.m3u8?cdn=wasusyt
iHOT-爱赛车,http://127.0.0.1:35456/itv/6000000006000240630.m3u8?cdn=wasusyt
iHOT-爱体育,http://127.0.0.1:35456/itv/6000000006000290630.m3u8?cdn=wasusyt
iHOT-爱玩具,http://127.0.0.1:35456/itv/6000000006000220630.m3u8?cdn=wasusyt
iHOT-爱喜剧,http://127.0.0.1:35456/itv/6000000006000010630.m3u8?cdn=wasusyt
iHOT-爱悬疑,http://127.0.0.1:35456/itv/6000000006000050630.m3u8?cdn=wasusyt
iHOT-爱幼教,http://127.0.0.1:35456/itv/6000000006000180630.m3u8?cdn=wasusyt
iHOT-爱院线,http://127.0.0.1:35456/itv/6000000006000030630.m3u8?cdn=wasusyt

央视综合,#genre#

CCTV-1综合,http://[2409:8087:1a0a:df::4031]:80/wh7f454c46tw705163907_345094122/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8

CCTV—2财经,http://[2409:8087:7008:20::8]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8

CCTV-3综艺,http://[2409:8087:1a0a:df::404e]:80/wh7f454c46tw1306766403_-33994166/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8

CCTV4-中文国际,http://[2409:8087:1a0a:df::4032]:80/wh7f454c46tw1452344678_931674717/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8

CCTV-5体育,http://[2409:8087:1a0a:df::4017]:80/wh7f454c46tw1517328845_1706942365/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8

CCTV-5+体育赛事,http://[2409:8087:1a0a:df::4032]:80/wh7f454c46tw1559678945_883095252/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8

CCTV-6电影,http://[2409:8087:1a0a:df::4038]:80/wh7f454c46tw1592771597_580809367/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8

CCTV-7国防军事,http://[2409:8087:1a0a:df::400f]:80/wh7f454c46tw1639845910_217588519/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8

CCTV8-电视剧,http://[2409:8087:1a0a:df::4036]:80/wh7f454c46tw1670555715_-98597522/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8

CCTV-9记录,http://[2409:8087:1a0a:df::4015]:80/wh7f454c46tw1711975279_-1056895978/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8

CCTV-10科教,http://[2409:8087:1a0a:df::4035]:80/wh7f454c46tw1741373816_102984390/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8

CCTV-11戏曲,http://[2409:8087:1a0a:df::4016]:80/wh7f454c46tw1773849430_946809046/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8

CCTV-12社会与法,http://[2409:8087:1a0a:df::404e]:80/wh7f454c46tw1801993293_427444497/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8

CCTV-13新闻,http://[2409:8087:1a0a:df::402d]:80/wh7f454c46tw1865416231_2120705273/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8

CCTV-14少儿,http://[2409:8087:1a0a:df::404d]:80/wh7f454c46tw1988565230_-380430064/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8

CCTV-15音乐,http://[2409:8087:1a0a:df::400e]/wh7f454c46tw4053815299_235239589/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8

CCTV-16奥林匹克,http://[2409:8087:1a0a:df::4030]:80/wh7f454c46tw2135331742_-653554677/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8

CCTV-17农业农村,http://[2409:8087:1a0a:df::4030]:80/wh7f454c46tw2178989547_-748691326/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

CHC家庭影院,http://[2409:8087:7008:20::8]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8

CHC动作电影,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8

CHC影迷电影,http://[2409:8087:7008:20::8]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8

CCTV-第一剧场,http://[2409:8087:7008:20::c]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226959/1.m3u8

CCTV-风云足球,http://[2409:8087:7008:20::c]/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226984/index.m3u8

CCTV-世界地理,http://[2409:8087:7008:20::c]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226947/1.m3u8

CCTV-央视台球,http://[2409:8087:7008:20::c]:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226956/index.m3u8

CCTV-央视高网,http://[2409:8087:7008:20::c]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226978/index.m3u8

CCTV-风云音乐,http://[2409:8087:7008:20::c]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226953/1.m3u8

CCTV-风云剧场,http://[2409:8087:7008:20::c]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226950/1.m3u8

CCTV-怀旧剧场,http://[2409:8087:7008:20::c]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226972/1.m3u8

CCTV-文化精品,http://[2409:8087:7008:20::c]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226981/1.m3u8

CCTV-女性时尚,http://[2409:8087:7008:20::c]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226969/1.m3u8

CCTV-电视指南,http://[2409:8087:7008:20::a]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226987/1.m3u8

卫视综合,#genre#

北京卫视,http://[2409:8087:1a0a:df::4010]:80/wh7f454c46tw3521118935_826740184/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8

湖南卫视,http://[2409:8087:1a0a:df::402e]:80/wh7f454c46tw3107212859_-133726409/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8

东方卫视,http://[2409:8087:1a0a:df::402d]:80/wh7f454c46tw2920536473_465873356/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8

四川卫视,http://[2409:8087:1a0a:df::402f]:80/wh7f454c46tw3886432740_-1280396412/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8

天津卫视,http://[2409:8087:1a0a:df::402e]:80/wh7f454c46tw2817558359_702405668/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8

安徽卫视,http://[2409:8087:1a0a:df::404e]:80/wh7f454c46tw3368283462_1665536637/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8

山东卫视,http://[2409:8087:1a0a:df::4036]:80/wh7f454c46tw3812967688_-1687053025/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8

深圳卫视,http://[2409:8087:1a0a:df::4013]:80/wh7f454c46tw2667830568_725069943/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8

广东卫视,http://[2409:8087:1a0a:df::4011]:80/wh7f454c46tw2785724078_-429391256/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8

广西卫视,http://[2409:8087:1a0a:df::400b]/wh7f454c46tw432909283_201278346/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8

江苏卫视,http://[2409:8087:1a0a:df::402f]:80/wh7f454c46tw3223665652_2134146582/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8

江西卫视,http://[2409:8087:1a0a:df::4035]:80/wh7f454c46tw2531314338_1891703426/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8

河北卫视,http://[2409:8087:1a0a:df::4039]:80/wh7f454c46tw3680775025_-27616430/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8

河南卫视,http://[2409:8087:1a0a:df::402b]:80/wh7f454c46tw3580436585_-1356766422/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8

浙江卫视,http://[2409:8087:1a0a:df::4038]:80/wh7f454c46tw2381060953_-1615294381/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8

海南卫视,http://[2409:8087:1a0a:df::4035]:80/wh7f454c46tw2956885686_2095434499/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8

湖北卫视,http://[2409:8087:1a0a:df::4016]:80/wh7f454c46tw2482810079_2015670374/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8

山西卫视,http://[2409:8087:1a0a:df::402c]:80/wh7f454c46tw3180575873_-409685816/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8

东南卫视,http://[2409:8087:1a0a:df::404e]:80/wh7f454c46tw3852064492_357236640/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8

贵州卫视,http://[2409:8087:1a0a:df::402c]:80/wh7f454c46tw3713977475_-1473008417/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8

辽宁卫视,http://[2409:8087:1a0a:df::404a]:80/wh7f454c46tw3780404957_-1199208330/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8

重庆卫视,http://[2409:8087:1a0a:df::4039]:80/wh7f454c46tw3484210288_1514322028/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8

黑龙江卫视,http://[2409:8087:1a0a:df::4030]:80/wh7f454c46tw3745569663_1783156534/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8

内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=35f2dd39972cede5222c6bd2c0efe24b&txTime=77395680

宁夏卫视,http://[2409:8087:1a0a:df::4039]:80/wh7f454c46tw2322589885_-1778336447/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8

陕西卫视,http://[2409:8087:1a0a:df::404a]:80/wh7f454c46tw3334119019_-848365723/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8

吉林卫视,http://[2409:8087:1a0a:df::4018]/wh7f454c46tw1892345721_743770564/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8

新疆卫视,http://[2409:8087:1a0a:df::404e]:80/wh7f454c46tw3443810904_-1116868076/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8

云南卫视,http://[2409:8087:5e00:24::20]:6610/000000001000/1/5000000011000031120/index.m3u8?channel-id=bestzb&Contentid=5000000011000031120&livemode=1&stbId=YanG-1989

甘肃卫视,http://[2409:8087:5e00:24::20]:6610/000000001000/1/5000000011000031121/index.m3u8?channel-id=bestzb&Contentid=5000000011000031121&livemode=1&stbId=YanG-1989

青海卫视,http://[2409:8087:5e00:24::20]:6610/000000001000/1/5000000006000040015/index.m3u8?channel-id=bestzb&Contentid=5000000006000040015&livemode=1&stbId=YanG-1989

三沙卫视,http://[2409:8087:5e00:24::20]:6610/000000001000/1/5000000011000288016/index.m3u8?channel-id=bestzb&Contentid=5000000011000288016&livemode=1&stbId=YanG-1989

CETV 1 中国教育,http://[2409:8087:5e00:24::20]:6610/000000001000/1/5000000002000002652/index.m3u8?channel-id=bestzb&Contentid=5000000002000002652&livemode=1&stbId=YanG-1989

CETV 4 中国教育,http://[2409:8087:5e00:24::20]:6610/000000001000/1/5000000011000031126/index.m3u8?channel-id=bestzb&Contentid=5000000011000031126&livemode=1&stbId=YanG-1989





4K频道,#genre#

Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8

Loupe 4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8

Fashion 4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8

纯享·4K,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010006/1.m3u8

华数·4K,http://[2409:8087:5e08:24::d]:6610/000000001000/6000000003000004748/index.m3u8?channel-id=wasusyt&Contentid=6000000003000004748&livemode=1&stbId=YanG-1989

欢笑剧场·4K,http://[2409:8087:5e08:24::d]:6610/000000001000/5000000007000010001/index.m3u8?channel-id=bestzb&Contentid=5000000007000010001&livemode=1&stbId=YanG-1989

CCTV16.4K,http://[2409:8087:5e08:24::d]:6610/000000001000/5000000008000023254/index.m3u8?channel-id=bestzb&Contentid=5000000008000023254&livemode=1&stbId=YanG-1989

咪咕.4K,http://[2409:8087:5e08:25::4]:6610/000000001000/3000000010000005180/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=FifastbLive&Contentid=3000000010000005180&IASHttpSessionId=OTT14302520240727111855000499


数字综合,#genre#

重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv

1905电影网国内,http://dns.yiandrive.com:16813/1905/1905a

1905电影网国外,http://dns.yiandrive.com:16813/1905/1905b

环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8

淘电影,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226552/1.m3u8?accountinfo=%7E%7EV2.0%7EXOsrWMA-UCdUl1hQSR9EKw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND&GuardEncType=2

